Oyun (Satis - Magazadan Alis);Satis Fiyati (TL);Oyun (Takas - Magazaya Verme);Takas Degeri (TL)
Crash Bandicoot;1199;Crash Bandicoot;700
Crash Bandicoot 4 Its Aboult Time;1499;Crash Bandicoot 4 Its Aboult Time;1000
Crash Team Racing Nitro Fueled CTR;1399;Crash Team Racing Nitro Fueled CTR;900
Crysis 1-2-3 Trilogy Türkçe Dublaj;1499;Crysis 1-2-3 Trilogy Türkçe Dublaj;1000
Cuphead;1499;Cuphead;1000
Cyberpunk 2077 Türkçe;1799;Cyberpunk 2077 Türkçe;1200
Dark Souls 1;899;Dark Souls 1;500
Dark Souls 2;899;Dark Souls 2;600
Dark Souls 3;999;Dark Souls 3;600
Dark Souls 3 Game Of The Year Edition;1199;Dark Souls 3 Game Of The Year Edition;700
Dark Souls Trilogy;1999;Dark Souls Trilogy;1400
Darksiders 1 Warmastered;799;Darksiders 1 Warmastered;500
Darksiders 2;699;Darksiders 2;450
Darksiders 3;899;Darksiders 3;500
;;Days Gone Turkçe;400
Days Gone Türkçe;699;;
Dead By Daylight;799;Dead By Daylight;500
Dead Island Definitive Edition;799;Dead Island Definitive Edition;500
Dead Rising 2;799;Dead Rising 2;500
Dead Rising 4;799;Dead Rising 4;500
DeadPool;1499;DeadPool;1000
Death Stranding Türkçe;699;Death Stranding Türkçe;400
Destiny 1;299;Destiny 1;150
Destiny 2;399;Destiny 2;200
Detroit Become Human Türkçe;1199;Detroit Become Human Türkçe;700
Deus Ex Mankind Divided;599;Deus Ex Mankind Divided;300
Devil May Cry 5;1299;Devil May Cry 5;800
Devil May Cry DMC;999;Devil May Cry DMC;600
Devil May Cry HD Collection;1299;Devil May Cry HD Collection;800
Diablo 3 Eternal Collection;699;Diablo 3 Eternal Collection;500
Diablo 3 Reaper of Souls;599;Diablo 3 Reaper of Souls;350
Dirt 4;1299;Dirt 4;800
Dirt 5;1599;Dirt 5;1000
Dirt Rally;999;Dirt Rally;600
Dirt Rally 2.0;1299;Dirt Rally 2.0;800
Dishonored 2;399;Dishonored 2;200
Dishonored Death Of The Outsider;449;Dishonored Death Of The Outsider;250
Dishonored Definitive Edition;449;Dishonored Definitive Edition;250
Division 1;349;Division 1;150
Division 2;349;Division 2;150
Doom;999;Doom;600
Doom Eternal;1399;Doom Eternal;800
Dragon Age Inquisition;899;Dragon Age Inquisition;500
Dragon Ball 1 Xenoverse;499;;
Dragon Ball 2 Xenoverse;599;Dragon Ball 2 Xenoverse;300
Dragon Ball Fighterz;499;Dragon Ball Fighterz;300
;;Dragon Ball Xenoverse;200
Dragon Ball Z Kakorat;499;Dragon Ball Z Kakorat;300
Dragons Dogma;699;Dragons Dogma;400
Driveclub Türkçe;399;Driveclub TÜRKÇE;200
Duck Dynasty;699;Duck Dynasty;400
Dying Light;899;Dying Light;500
Dying Light 2;1599;Dying Light 2;1000
Dying Light The Following;999;Dying Light The Following;600
Elden Ring;1499;Elden Ring;1000
Evil West;849;Evil West;500
Evolve;299;Evolve;170
F1 2015;399;F1 2015;150
F1 2016;499;F1 2016;250
F1 2017;599;F1 2017;350
F1 2018;699;F1 2018;400
F1 2019;799;F1 2019;450
F1 2020;899;F1 2020;500
F1 2021;999;F1 2021;550
F1 2022;1199;F1 2022;700
F1 2024;1999;F1 2024;1400
Fallout 4;699;Fallout 4;400
;;Fallout 4 G.O.T.Y;450
Fallout 4 G.O.T.Y.;799;;
Fallout 76;799;Fallout 76;450
FAR CRY 3 Classic Edition;799;FAR CRY 3 Classic Edition;400
FAR CRY 4;599;FAR CRY 4;350
FAR CRY 5;699;FAR CRY 5;450
FAR CRY 6;999;FAR CRY 6;600
FAR CRY New Dawn;599;FAR CRY New Dawn;350
FAR CRY Primal;699;FAR CRY Primal;350
Farming Simulator 17;499;Farming Simulator 17;300
Farming Simulator 18;699;Farming Simulator 18;500
Farming Simulator 19;999;Farming Simulator 19;600
Farming Simulator 22;1699;Farming Simulator 22;1000
Fast & Furious;1199;Fast & Furious;700
FC 24 Türkçe;1199;FC 24 Türkçe;700
FC 25 Türkçe;1399;FC 25 Türkçe;800
FC 26 Türkçe Spiker;1999;FC 26 Türkçe Spiker;1500
Fifa 14 Türkçe;499;Fifa 14 Türkçe;200
Fifa 15 Türkçe;299;Fifa 15 Türkçe;150
Fifa 16 Türkçe;299;Fifa 16 Türkçe;150
Fifa 17 Türkçe;349;Fifa 17 Türkçe;200
Fifa 18 Türkçe;399;Fifa 18 Türkçe;200
Fifa 19 Türkçe;499;Fifa 19 Türkçe;250
Fifa 20 Türkçe;599;Fifa 20 Türkçe;300
Fifa 21 Türkçe;699;Fifa 21 Türkçe;350
Fifa 22 Türkçe;799;Fifa 22 Türkçe;400
Fifa 23 Türkçe;999;Fifa 23 Türkçe;600
Final Fantasy 15;899;Final Fantasy 15;500
Final Fantasy VII Remake;1499;Final Fantasy VII Remake;1000
For Honor;499;For Honor;300
Friday The 13TH;1299;Friday The 13TH;800
Gang Beats;1199;Gang Beats;700
Ghost Of Tsushima Director's Cut Türkçe;1799;Ghost Of Tsushima Director's Cut Türkçe;1200
Ghost Of Tsushima Türkçe;1399;Ghost Of Tsushima Türkçe;900
Ghost Recon Breakpoint;699;Ghost Recon Breakpoint;400
Ghost Recon Wildlands;699;Ghost Recon Wildlands;400
God Of War 2018 TÜRKÇE;799;God Of War 2018 Türkçe;500
God Of War 3 Remastered Türkçe;899;God Of War 3 Remastered Türkçe;600
God Of War Ragnarök;1599;God Of War Ragnarök;1100
Gran Turismo 7 Türkçe;1199;Gran Turismo 7 Türkçe;700
;;Gran Turismo Sport VR Türkçe;500
Gran Turismo Sport VR Türkçe;799;;
Grid Legends;1399;Grid Legends;800
GTA 5;1199;GTA 5;700
GTA The Trilogy;1299;GTA The Trilogy;800
Guardians Of The Galaxy;899;Guardians Of The Galaxy;500
Guitar Hero Live + Tek Gitar;1799;Guitar Hero Live + Tek Gitar;1100
Heavy Rain & Beyond Two Souls Collection;899;Heavy Rain & Beyond Two Souls Collection;500
Hello Neigbor 2;1399;Hello Neigbor 2;900
Hello Neigbor Hide & Seek;1199;;
Hello Neighbor;1299;Hello Neighbor;800
;;Hello Neighbor Hide & Seek;700
Hitman 1;1299;Hitman 1;800
Hitman 2;1299;Hitman 2;800
Hitman 3;1299;Hitman 3;780
Hogwarts Legacy;1999;Hogwarts Legacy;850
Homefront The Revolution;499;Homefront The Revolution;200
Horizon Forbidden West Türkçe;1299;Horizon Forbidden West Türkçe;800
Horizon Zero Dawn;299;Horizon Zero Dawn;150
Horizon Zero Dawn Complete Edition;399;Horizon Zero Dawn Complete Edition;200
ice Age Scart's Nutty Adventure;999;ice Age Scart's Nutty Adventure;600
inFAMOUS First Light TÜRKÇE;999;inFamous First Light TÜRKÇE;600
inFAMOUS Second Son TÜRKÇE;799;inFamous Second Son TÜRKÇE;500
injustice 1;699;injustice 1;400
injustice 2;699;injustice 2;400
İmmortals Fenyx Rising;699;İmmortals Fenyx Rising;400
İt Takes Two;1499;İt Takes Two;1000
;;Journey Collector's Edition Türkçe;500
Journey Collector's Edition Türkçe;899;;
Judgment;899;Judgment;500
Jumanji;799;Jumanji;450
Jump Force;1299;Jump Force;800
Just Cause 3;499;Just Cause 3;300
Just Cause 4;799;Just Cause 4;300
Killzone Shadow Fall türkçe;499;Killzone Shadow Fall türkçe;300
Kingdom Come Deliverance;1299;Kingdom Come Deliverance;800
Kingdom Hearts 3;999;Kingdom Hearts 3;600
Kingdom Hearts All İn One Package;2199;Kingdom Hearts All İn One Package;1600
Kingdom Hearts HD 1.5+2.5 Remix;999;Kingdom Hearts HD 1.5+2.5 Remix;600
Kingdom Hearts HD 2.8;999;Kingdom Hearts HD 2.8;600
Knack 1;1299;Knack 1;800
Knack 2;1299;Knack 2;800
L.A. Noire;999;L.A. Noire;600
LEGO Batman 3 Beyond Gotham;899;LEGO Batman 3 Beyond Gotham;500
LEGO City Undercover;799;LEGO City Undercover;500
LEGO DC Super Villains;599;LEGO DC Super Villains;350
LEGO Harry Potter Collection;699;LEGO Harry Potter Collection;400
LEGO İncredibles;599;LEGO İncredibles;350
LEGO Jurassic World;799;LEGO Jurassic World;500
LEGO Marvel Avengers;699;LEGO Marvel Avengers;400
LEGO Marvel Collection;999;LEGO Marvel Collection;650
LEGO Marvel Super Heroes;799;;
LEGO Marvel Super Heroes 2;799;;
;;LEGO Marvel Süper Heroes;500
;;LEGO Marvel Süper Heroes 2;500
LEGO Movie Videogame;699;LEGO Movie Videogame;400
LEGO Movie Videogame 2;799;LEGO Movie Videogame 2;500
LEGO Ninja Go;699;LEGO Ninja Go;400
LEGO Starwars;699;LEGO Starwars;400
LEGO The Hobbit;699;LEGO The Hobbit;400
LEGO Worlds;599;LEGO Worlds;350
Life Is Strange True Colors;1299;Life Is Strange True Colors;800
Little Big Planet 3;1199;;
Little Nightmares 1;799;Little Nightmares 1;500
Little Nightmares 1&2;1299;Little Nightmares 1&2;800
Little Nightmares 2;799;Little Nightmares 2;500
;;LittleBigPlanet 3;700
Lords of the Fallen;599;Lords Of The Fallen;350
Mad Max;799;Mad Max;500
Mafia 3;699;Mafia 3;400
Mafia Definitive Edition;899;Mafia Definitive Edition;500
Mafia Trilogy;1399;;
;;MafiaTrilogy;900
Marvel Avengers;999;Marvel Avengers;600
Marvel VS Capcom Infinite;799;Marvel VS Capcom Infinite;400
Mass Effect Andromeda;699;Mass Effect Andromeda;400
Mass Effect Legendary Edition;1199;Mass Effect Legendary Edition;700
Matterfall;399;Matterfall;200
MediEvil Türkçe;999;MediEvil Türkçe;550
Metal Gear Solid 5 Ground Zeroes;599;Metal Gear Solid 5 Ground Zeroes;350
Metal Gear Solid 5 The Definitive Experience;899;Metal Gear Solid 5 The Definitive Experience;500
Metal Gear Solid 5 The Phantom Pain;699;Metal Gear Solid 5 The Phantom Pain;400
Metal Gear Survive;299;Metal Gear Survive;150
Metro 2033+Last Light Redux;1199;Metro 2033+Last Light Redux;700
Metro Exodus;1199;Metro Exodus;700
Middle Earth Shadow of Mordor;499;Middle Earth Shadow of Mordor;300
Middle Earth Shadow of Mordor GOTY;599;Middle Earth Shadow of Mordor GOTY;350
Middle Earth Shadow of War;699;Middle Earth Shadow of War;400
Minecraft;1599;Minecraft;1100
Minecraft Dungeons;1299;Minecraft Dungeons;800
Mirror's Edge;699;Mirror's Edge;400
Monster Hunter World;799;Monster Hunter World;450
Mortal Kombat 11;1299;Mortal Kombat 11;800
Mortal Kombat 11 Ultimate;1499;Mortal Kombat 11 Ultimate;900
Mortal Kombat X;999;Mortal Kombat X;600
Mortal Kombat XL;1199;Mortal Kombat XL;700
Mount And Blade Warband Türkçe;699;Mount And Blade Warband Türkçe;400
Mud Runner;1299;Mud Runner;800
Murdered Soul Suspect;499;Murdered Soul Suspect;250
;;MXGP 3;450
MXGP-1;599;MXGP-1;300
MXGP-2;699;MXGP-2;400
MXGP-3;799;;
Naruto Shippuden Ultimate Ninja Storm 4;799;;
Naruto Shippuden Ultimate Ninja Storm 4 Road To Boruto;899;Naruto Shippuden Ultimate Ninja Storm 4 Road To Boruto;500
;;Naruto Shippuden Ultimate Ninja Strom;450
Naruto To Boruto Shinobi Striker;799;Naruto To Boruto Shinobi Striker;450
;;Naruto Trilogy;600
Naruto Trilogy 3;999;;
NBA 2K Playgrounds 2;499;NBA 2K Playgrounds 2;250
NBA 2K14;699;NBA 2k14;400
NBA 2K15;399;NBA 2K15;200
NBA 2K16;499;NBA 2K16;250
NBA 2K17;599;NBA 2K17;300
NBA 2K18;499;NBA 2K18;250
NBA 2K19;499;NBA 2K19;250
NBA 2K20;499;NBA 2K20;250
NBA 2K21;599;NBA 2K21;300
NBA 2K22;599;NBA 2K22;300
NBA 2K23;699;NBA 2K23;400
NBA 2K24;799;NBA 2K24;500
NBA 2K25;1299;NBA 2K25;800
NBA 2K26;2199;NBA 2K26;1700
NBA Live 14;199;NBA Live 14;100
NBA Live 15;299;NBA Live 15;150
NBA Live 16;349;NBA Live 16;200
NBA Live 18;399;NBA Live 18;250
NBA Live 19;499;NBA Live 19;300
Need For Speed 2015;699;Need For Speed 2015;450
Need For Speed Heat;1199;Need For Speed Heat;700
Need For Speed Hot Pursuit;1299;Need For Speed Hot Pursuit;800
Need For Speed Payback;899;Need For Speed Payback;550
Need For Speed Rivals;899;Need For Speed Rivals;500
Nier Automata;1299;Nier Automata;800
Nier Automata Game Of The Year Edition;1499;Nier Automata Game Of The Year Edition;1000
Nier Replicant VER.1.22474487139…;1499;Nier Replicant VER.1.22474487139…;1000
;;Nioh 1;150
Nioh 1;299;;
Nioh 2;599;Nioh 2;300
No Man's Sky;599;No Man's Sky;350
One Piece Burning Blood;699;One Piece Burning Blood;400
One Piece Pirate Warriors 3;799;One Piece Pirate Warriors 3;450
Outlast Trinity;2499;Outlast Trinity;2000
Outriders;599;Outriders;300
Overcooked 1+ Overcooked 2;899;Overcooked 1+ Overcooked 2;550
Payday 2 Crime wave Edition;999;;
Payday 2 The Big Score;1299;Payday 2 The Big Score;800
;;Payday 2: Crime wave Edition;600
Persona 3 Reload;1699;Persona 3 Reload;1100
Persona 5;1199;Persona 5;700
Persona 5 Strikers;1199;Persona 5 Strikers;600
Persona 5 Tactica;1199;Persona 5 Tactica;600
Pes 2015 Türkçe;499;Pes 2015 Türkçe;250
Pes 2016 Türkçe;699;Pes 2016 Türkçe;400
Pes 2017 Türkçe;799;Pes 2017 Türkçe;450
Pes 2018 Türkçe;1499;Pes 2018 Türkçe;1000
Pes 2019 Türkçe;1599;Pes 2019 Türkçe;1000
Pes 2020 Türkçe;1999;Pes 2020 Türkçe;1300
Pes 2021 Türklçe;3999;;
;;Pes 2021 Türkçe;3300
Plants vs Zombies Battle For Neighborville;799;Plants vs Zombies Battle For Neighborville;400
Plants vs Zombies Garden Warfare;1399;Plants vs Zombies Garden Warfare;800
Plants vs Zombies Garden Warfare 2;799;Plants vs Zombies Garden Warfare 2;450
Predator Hunting Grounds;499;Predator Hunting Grounds;250
Prey;499;Prey;250
Prince OF Persia The Lost Crown;1499;Prince OF Persia The Lost Crown;1000
Project CARS 1;799;Project Cars 1;500
Project CARS 2;999;Project Cars 2;600
Project CARS 3;1399;Project Cars 3;800
PUBG;399;PUBG;200
Rabbids invasion;899;;
;;Rabbids İnvasion;500
RAGE 2;999;Rage 2;600
Rainbow Six Siege Tom Clancy’s;299;Rainbow Six Siege Tom Clancy’s;150
Ratchet And Clank Türkçe Dublaj;599;Ratchet And Clank Türkçe Dublaj;350
Rayman Legends;999;Rayman Legends;600
Red Dead Redemption 1;1599;Red Dead Redemption 1;1100
Red Dead Redemption 2;1399;Red Dead Redemption 2;900
Resident Evil 2;1199;Resident Evil 2;700
Resident Evil 3;1299;Resident Evil 3;800
Resident Evil 4 Eski;1199;Resident Evil 4 Eski;700
Resident Evil 4 Yeni;1199;Resident Evil 4 Yeni;700
Resident Evil 4 Yeni Gold Edition;1499;Resident Evil 4 Yeni Gold Edition;900
Resident Evil 5;1199;Resident Evil 5;700
Resident Evil 6;999;Resident Evil 6;600
Resident Evil 7 VR;1199;Resident Evil 7 VR;700
Resident Evil 7 VR Gold Edition;1399;Resident Evil 7  VR Gold Edition;900
Resident Evil Origins Collection;999;Resident Evil Origins Collection;600
Resident Evil Revelatıons 1;1499;Resident Evil Revelatıons 1;1000
Resident Evil Revelatıons 2;1499;Resident Evil Revelatıons 2;1000
Resident Evil Village;1399;Resident Evil Village;900
Resident Evil Village Gold Edition;1599;Resident Evil Village Gold Edition;1000
Ride 1;499;Ride 1;250
Ride 2;599;Ride 2;300
Ride 3;799;Ride 3;400
Ride 4;1199;Ride 4;650
Rocket League;899;Rocket League;500
Rocket League Ultimate Edition;999;Rocket League Ultimate Edition;600
Sackboy A Big Adventure;1299;Sackboy A Big Adventure;800
Saints Row 4 Re-Elected And Gat Out Of Hell;799;Saints Row 4 Re-Elected And Gat Out Of Hell;400
Sebastien Loeb Rally Evo;799;Sebastien Loeb Rally Evo;400
Sekiro;1499;Sekiro;1000
Shadow Of Colossus Türkçe;1499;Shadow Of Colossus Türkçe;1000
Sims 4;999;Sims 4;600
Sleeping Dogs;999;Sleeping Dogs;600
Sniper Elite 3;899;Sniper Elite 3;500
Sniper Elite 4;1199;Sniper Elite 4;700
Sniper Elite 5;1199;Sniper Elite 5;800
Sniper Elite Resistance;1799;Sniper Elite Resistance;1300
Sniper Ghost Warrior 3;899;Sniper Ghost Warrior 3;500
Sniper Ghost Warrior Contracts;899;Sniper Ghost Warrior Contracts;500
Sniper Ghost Warrior Contracts 2;899;Sniper Ghost Warrior Contracts 2;500
Snow Runner;1299;Snow Runner;800
Sonic Colors Ultimate;1299;Sonic Colors Ultimate;800
Sonic Forces;1199;Sonic Forces;700
Sonic Frontiers;1299;Sonic Frontiers;800
Sonic Mania Plus;999;Sonic Mania Plus;600
Sonic Superstars;1299;Sonic Superstars;800
Sonic Team Racing;999;Sonic Team Racing;600
Sonic X Shadow Generations;1799;Sonic X Shadow Generations;1200
Soul Calibur VI;499;Soul Calibur VI;250
;;Spider-Man 2 The Amazing;1400
Spider-Man Marvel;1499;Spider-Man Marvel;1000
;;Spider-Man Miles Morales;800
Spider-Man The Amazing 2;1999;;
Spiderman Miles Morales;1299;;
Spyro Reignited Trilogy;1299;Spyro Reignited Trilogy;700
Star Wars Battlefront;399;Star Wars Battlefront;200
Star Wars Battlefront 2;599;Star Wars Battlefront 2;400
Star Wars Jedi Fallen Order;799;Star Wars Jedi Fallen Order;450
Star Wars Jedi Fallen Survivor;1299;Star Wars Jedi Fallen Survivor;800
Star Wars Squadrons;799;Star Wars Squadrons;450
Steep;699;Steep;400
Street Fighter 30th Anniversary Collection;1399;Street Fighter 30th Anniversary Collection;900
Street Fighter 6;1499;Street Fighter 6;1000
Street Fighter V;1299;Street Fighter V;700
Street Fighter V Arcade Edition;1399;Street Fighter V Arcade Edition;800
Street Fighter V Champion Edition;1499;Street Fighter V Champion Edition;900
Styx Shards of Darkness;999;Styx Shards of Darkness;600
Tales from the Borderlands;699;Tales From the Borderlands;400
Tearaway Unfolded;899;Tearaway Unfolded;400
Technomancer;699;Technomancer;300
Tekken 7;799;Tekken 7;500
Terminator Resistance;1199;Terminator Resistance;600
The Crew 2;599;The Crew 2;300
The Crew MOTORFEST;1399;The Crew MOTORFEST;800
The Elder Scrolls Online;399;The Elder Scrolls Online;200
The Elder Scrolls Skyrim;999;The Elder Scrolls Skyrim;600
The Evil Within 1;699;The Evil Within 1;400
The Evil Within 2;899;The Evil Within 2;500
The Last Guardian Türkçe;1299;The Last Guardian Türkçe;700
The Last of Us 1 Türkçe;799;The Last of Us 1 Türkçe;500
The Last Of Us 2 Türkçe;1299;The Last of Us 2 Türkçe;800
The Order 1886 Türkçe;799;The Order 1886 Türkçe;400
The Outer Worlds;399;;
;;The Outher Worlds;200
The Witcher 3;899;;
The Witcher 3 Goty Türkçe;1199;The Witcher 3 Goty Türkçe;700
;;The Witcher 3;500
Thief;499;Thief;300
Tiny Tina's Wonderlands;399;Tiny Tina's Wonderlands;200
Titanfall 2;499;Titanfall 2;200
Tomb Raider Definitive Edition;699;Tomb Raider Definitive Edition;400
Tomb Raider Rise of;899;Tomb Raider Rise Of;500
Tomb Raider Shadow Of The;899;Tomb Raider Shadow Of The;500
Transformers Devastation;799;Transformers Devastation;450
Transformers Rise of the Dark Spark;1499;Transformers Rise of the Dark Spark;1000
Trials Fusion;499;Trials Fusion;300
Truck Driver;949;Truck Driver;600
UFC 1;699;UFC 1;400
UFC 2;899;UFC 2;500
UFC 3;999;UFC 3;600
UFC 4;1399;UFC 4;1000
Uncharted 4 Türkçe Dublaj;799;Uncharted 4 Türkçe Dublaj;500
Uncharted Collection Türkçe Dublaj;899;Uncharted Collection Türkçe Dublaj;600
Uncharted Kayıp Miras Türkçe Dublaj;799;Uncharted Kayıp Miras Türkçe Dublaj;500
;;Until Dawn Türkçe;600
Until Dawn Türkçe;999;;
Valentino Rossi;499;Valentino Rossi;300
Vampyr;699;Vampyr;400
Viking Wolves Of Midgard;699;Viking Wolves Of Midgard;400
Warhammer Vermintide 2 Deluxe Edition;499;Warhammer Vermintide 2 Deluxe Edition;300
;;Watch Dogs;200
Watch Dogs 1;399;;
Watch Dogs 2;699;Watch Dogs 2;350
Watch Dogs Legion;699;Watch Dogs Legion;350
Wipeout Omega Collection;699;;
;;Wipeout Omega Colletion;300
Wolfenstein 2;699;Wolfenstein 2;400
Wolfenstein The New Order;799;Wolfenstein The New Order;400
Wolfenstein The Old Blood;699;;
Wolfenstein Youngblood;999;Wolfenstein Youngblood;600
;;Wolfenstein: The Old Blood;400
World War Z;999;World War Z;600
WRC 10;1199;WRC 10;700
WRC 5;499;WRC 5;300
WRC 6;599;WRC 6;350
WRC 7;699;WRC 7;400
WRC 8;799;WRC 8;500
WRC 9;899;WRC 9;550
WWE 2K15;999;WWE 2K15;600
WWE 2K16;999;WWE 2K16;600
WWE 2K17;999;WWE 2K17;600
WWE 2K18;799;WWE 2K18;500
WWE 2K19;899;WWE 2K19;500
WWE 2K20;899;WWE 2K20;500
WWE 2K22;999;WWE 2K22;600
WWE 2K23;1199;WWE 2K23;700
WWE 2K24;1499;WWE 2K24;900
WWE 2K25;1999;WWE 2K25;1500
WWE Battlegrounds;699;WWE Battlegrounds;400
XCOM 2;799;XCOM 2;450
Yakuza 0 Zero;1399;Yakuza 0 Zero;800
Yakuza 6;1499;Yakuza 6;1000
Yakuza Kiwami;1299;Yakuza Kiwami;700
Yakuza Kiwami 2;1199;Yakuza Kiwami 2;600
Yakuza Like A Dragon;899;Yakuza Like A Dragon;500
Zombi;899;;
;;Zombie;500
Zombie Army Trilogy;1299;Zombie Army Trilogy;700
